Name,Count
De Bruyne,40
Lundstram,39
Vardy,33
Grealish,28
Alexander-Arnold,25
Salah,24
Jiménez,23
Button,22
Kelly,22
Ings,19
Rico,19
Cantwell,18
Mané,18
Ryan,15
van Dijk,15
Söyüncü,15
Dunk,13
Abraham,12
Agüero,11
Robertson,11
Fleck,11
Pope,10
Calvert-Lewin,9
Maddison,9
Henderson,8
Traoré,8
Schmeichel,7
Baldock,7
Dendoncker,7
Son,6
Greenwood,6
McGovern,6
Martial,5
Ramsdale,5
Pereira,5
Firmino,5
Pulisic,5
Simpson,4
Gomez,4
Lascelles,4
Aubameyang,4
Pérez,4
Cathcart,4
Digne,4
Mings,4
Evans,4
Sterling,4
Zaha,4
Kane,4
Mount,4
Ederson,4
Hayden,3
Williams,3
Richarlison,3
Mahrez,3
McCarthy,3
Ogbonna,3
Mousset,3
James,3
Pieters,3
McGinn,3
Wan-Bissaka,3
Tielemans,3
King,3
van Aanholt,3
Maupay,2
Aurier,2
Guendouzi,2
Stephens,2
Pukki,2
Gazzaniga,2
Alli,2
Haller,2
Guaita,2
Alisson,2
Chilwell,2
Patrício,2
Harry Wilson,2
Gibson,2
Rashford,2
Ceballos,2
Fernandes,1
Deulofeu,1
Foster,1
Holgate,1
Stevens,1
Maguire,1
Hart,1
Armstrong,1
Duda,1
Oriol Romeu,1
Kiko Femenía,1
Sidibé,1
David Silva,1
Ayew,1
Stekelenburg,1
Doucouré,1
O'Connell,1
de Gea,1
Egan,1
Alderweireld,1
Krul,1
Taylor,1
Rice,1
Douglas Luiz,1
Gunn,1
Walker,1
Pedro,1
Torreira,1
Lucas Moura,1
Fraser,1
Callum Wilson,1
Ward-Prowse,1
Mendy,1
Keane,1
McNeil,1
Engels,1
Adrián,1
Matip,1
Wesley,1
Diop,1
Zinchenko,1
McTominay,1
Jorginho,1
Sigurdsson,1
Prödl,1
Leno,1
Otamendi,1
Ndombele,1
Neves,1
Success,1
Jota,1
Kepa,1
Kolasinac,1
Morgan,1
Holebas,1
Bernardo Silva,1
Bernard,1
Iwobi,1
Tosun,1
Fabianski,1
Duffy,1
Eriksen,1
Zouma,1
Schelotto,1
