Name,Count
Aubameyang,47
Alexander-Arnold,43
Son,39
Werner,35
Salah,33
Saint-Maximin,28
Mitchell,28
McCarthy,27
Mitrović,27
Ings,26
Walker-Peters,25
Ryan,23
Nyland,21
Vinagre,20
Doherty,15
Dallas,14
Justin,14
Bissouma,14
Davis,10
Bernardo,10
Adams,10
Fernandes,10
Lundstram,9
Traoré,8
Stephens,8
Douglas,8
Button,8
Johnson,8
Jiménez,8
Egan,7
Martin,7
Robertson,7
Taylor,7
Alli,7
Dunk,7
Brewster,7
Kane,7
De Bruyne,7
Wilson,6
Stevens,6
Schmeichel,6
Soucek,6
Vardy,6
Ayew,6
Davies,5
Rodríguez,5
Calvert-Lewin,5
Pope,5
Saka,4
Ayling,4
Ward-Prowse,4
Oriol Romeu,4
Barnes,4
Steer,4
Rice,4
Havertz,4
Willian,3
Pérez,3
Reed,3
Lloris,3
van Dijk,3
Pereira,3
James,3
Antonio,3
Ferguson,3
Mount,3
Saliba,3
Wan-Bissaka,3
Mané,3
Lamptey,3
Rashford,3
Digne,2
Dier,2
Bamford,2
Martial,2
Buur,2
Pulisic,2
Dendoncker,2
Norwood,2
Vassilev,2
Nketiah,2
Targett,2
Baldock,2
Ederson,2
Azpilicueta,2
Greenwood,2
Williams,2
Alderweireld,2
Armstrong,2
Richarlison,2
Struijk,2
Rodrigo,2
Tarkowski,2
Alisson,1
Abraham,1
White,1
Noble,1
Miazek,1
Pieters,1
Bednarek,1
Doucouré,1
Leno,1
Fabri,1
Arrizabalaga,1
Tierney,1
Bellerín,1
Fabianski,1
Wood,1
Coady,1
Ampadu,1
Firmino,1
Patrício,1
O'Connell,1
Kanté,1
Lucas Moura,1
Branthwaite,1
Shelvey,1
Walker,1
Hegazi,1
Özil,1
Agüero,1
Sánchez,1
Jordao,1
Söyüncü,1
Wijnaldum,1
Rüdiger,1
Mina,1
Moutinho,1
Rodriguez,1
Thomas,1
Roberts,1
McNeil,1
Martínez,1
Saïss,1
Shaw,1
Fernandinho,1
Ramsdale,1
Kelly,1
Keita,1
de Gea,1
Tete,1
Cooper,1
Ziyech,1
Gibbs,1
Sterling,1
Aké,1
Murray,1
