Name,Count
Salah,27
Button,23
Robertson,23
Wan-Bissaka,21
Digne,20
van Dijk,18
Fraser,18
Kelly,17
Dendoncker,16
Greenwood,15
Aubameyang,15
Ederson,15
King,15
Sterling,14
Callum Wilson,12
Pérez,11
Kane,11
Agüero,11
Ryan,10
Zaha,10
De Bruyne,9
Aké,9
Sigurdsson,9
Bernardo Silva,9
Zinchenko,8
Mané,8
Lascelles,8
Firmino,8
Alexander-Arnold,8
Martial,7
Dunk,7
Walker,7
Jiménez,7
Pope,6
Lundstram,6
Pulisic,6
Hayden,6
Alderweireld,6
de Gea,6
Deulofeu,5
Jota,5
Richarlison,5
Walker-Peters,4
Pereyra,4
Maddison,4
Milivojevic,4
Keane,4
Simpson,4
Murray,4
Neves,4
McGinn,3
Reid,3
Guendouzi,3
Deeney,3
Holebas,3
Stekelenburg,3
Pogba,3
Adrián,3
Duffy,3
Moutinho,3
Taylor,3
Kovacic,3
Lucas Moura,3
Ceballos,3
Pedro,3
Rashford,3
Jorginho,3
Alisson,3
Kepa,3
Eriksen,3
Heaton,2
Boly,2
Origi,2
McGovern,2
Stones,2
Azpilicueta,2
Cathcart,2
Fabianski,2
Pickford,2
Chilwell,2
Stephens,2
Diop,2
Laporte,2
Wickham,2
Patrício,2
Rico,2
Vardy,2
Begovic,2
Grealish,2
David Silva,2
Gibson,2
Long,2
Alonso,2
van Aanholt,2
Ayew,2
Leno,2
Mee,2
Schmeichel,2
Pereira,2
Montoya,1
Wesley,1
Barkley,1
Mepham,1
Pépé,1
James,1
Kean,1
Hart,1
Lössl,1
Giroud,1
Barnes,1
Sharp,1
Maitland-Niles,1
Sokratis,1
Abraham,1
Pukki,1
Mings,1
Wijnaldum,1
David Luiz,1
Kanté,1
Johnson,1
Longstaff,1
Camarasa,1
Tarkowski,1
Fornals,1
Gunn,1
Ings,1
Schneiderlin,1
Milner,1
Bennett,1
Maguire,1
Felipe Anderson,1
Foster,1
Vallejo,1
Lacazette,1
Sakho,1
March,1
Targett,1
Schär,1
Mkhitaryan,1
Calvert-Lewin,1
Torreira,1
Højbjerg,1
Sessegnon,1
Stearman,1
Coleman,1
Capoue,1
Godfrey,1
Kiko Femenía,1
Mousset,1
McTominay,1
Özil,1
Prödl,1
Parrott,1
Kolasinac,1
Otamendi,1
Ndombele,1
Morgan,1
Success,1
Zouma,1
Bernard,1
Iwobi,1
Tosun,1
